date_str,degrees_from_mean,id,lon,lat,max_temp,min_temp,station_name,type,serialid,year,month,day,year_month,state
1989-03-27,28.49,USC00477132,-91.7719,45.4164,18.9,5.6,RICE LAKE,Strong Hot,2043548,1989,3,27,1989.03,Wisconsin
1998-03-30,25.5,USC00312515,-78.9625,36.0425,30.6,13.9,DURHAM,Strong Hot,1300997,1998,3,30,1998.03,North Carolina
2011-06-14,19.04,USW00023072,-100.8903,34.9325,42.2,25.6,CLARENDON,Strong Hot,1859539,2011,6,14,2011.06,Texas
2012-12-04,33.56,USW00014806,-88.1594,40.3131,22.2,8.9,RANTOUL,Strong Hot,1524860,2012,12,4,2012.12,Illinois
2000-02-29,26.79,USC00051179,-104.1275,39.7403,22.2,3.3,BYERS 5 ENE,Strong Hot,1099345,2000,2,29,2000.02,Colorado
1980-06-28,16.12,USW00013962,-99.6822,32.4106,42.8,26.7,ABILENE RGNL AP,Strong Hot,2484339,1980,6,28,1980.06,Texas
1977-04-25,23.28,USC00453883,-118.8786,46.2447,34.4,11.7,ICE HARBOR DAM,Strong Hot,49085,1977,4,25,1977.04,Washington
2007-03-26,27.92,USW00003859,-81.2078,37.2958,26.1,15.0,BLUEFIELD MERCER CO AP,Strong Hot,1436954,2007,3,26,2007.03,West Virginia
1998-09-06,21.4,USC00391076,-96.7686,44.3253,32.2,18.9,BROOKINGS 2 NE,Strong Hot,1320498,1998,9,6,1998.09,South Dakota
2008-06-10,16.37,USW00094702,-73.1289,41.1583,35.6,21.1,BRIDGEPORT SIKORSKY MEM AP,Strong Hot,448598,2008,6,10,2008.06,Connecticut
2004-03-19,27.36,USW00024015,-103.2167,40.1667,27.8,6.7,AKRON WASHINGTON CO AP,Strong Hot,959537,2004,3,19,2004.03,Colorado
1980-07-14,19.23,USC00250435,-95.7469,40.3706,43.3,26.7,AUBURN 5 ESE,Strong Hot,2494558,1980,7,14,1980.07,Nebraska
1994-06-19,16.14,USC00338609,-84.5808,40.8494,35.6,23.3,VAN WERT 1 S,Strong Hot,673243,1994,6,19,1994.06,Ohio
2007-01-06,32.06,USW00094789,-73.7622,40.6386,21.7,10.6,NEW YORK JFK INTL AP,Strong Hot,1481519,2007,1,6,2007.01,New York
1987-05-07,16.84,USC00048045,-124.1036,40.4831,29.4,13.3,SCOTIA,Strong Hot,1765525,1987,5,7,1987.05,California
2005-01-13,35.55,USC00469522,-80.3083,37.7889,20.6,13.3,WHITE SULPHUR SPRINGS,Strong Hot,2593792,2005,1,13,2005.01,West Virginia
2010-05-26,21.77,USC00272999,-71.2906,45.09,28.3,12.2,FIRST CONNECTICUT LAKE,Strong Hot,2798006,2010,5,26,2010.05,New Hampshire
1989-04-24,28.42,USC00145363,-97.7047,39.1247,37.8,17.2,MINNEAPOLIS,Strong Hot,2062033,1989,4,24,1989.04,Kansas
1979-09-12,11.7,USW00025713,-170.2222,57.1553,15.0,11.1,ST PAUL ISLAND AP,Strong Hot,1738607,1979,9,12,1979.09,Alaska
2006-07-23,17.21,USW00024233,-122.3139,47.4444,35.0,19.4,SEATTLE TACOMA INTL AP,Strong Hot,648912,2006,7,23,2006.07,Washington
1986-11-04,21.0,USC00046506,-122.1997,39.7458,30.6,13.9,ORLAND,Strong Hot,3016796,1986,11,4,1986.11,California
2002-10-02,22.13,USW00013802,-89.8467,38.52,32.2,18.9,BELLEVILLE SIU RSCH,Strong Hot,347090,2002,10,2,2002.1,Illinois
1966-07-12,11.92,USC00237772,-89.6231,36.8775,40.0,25.6,SIKESTON PWR STN,Strong Hot,1636187,1966,7,12,1966.07,Missouri
1983-09-06,16.01,USW00013737,-76.1922,36.9033,36.1,25.0,NORFOLK INTL AP,Strong Hot,2872840,1983,9,6,1983.09,Virginia
1972-05-18,21.57,USC00217460,-93.3211,46.7953,31.1,15.6,SANDY LAKE DAM LIBBY,Strong Hot,1377303,1972,5,18,1972.05,Minnesota
2000-01-02,33.09,USW00093824,-81.8922,39.9444,19.4,9.4,ZANESVILLE MUNI AP,Strong Hot,1108533,2000,1,2,2000.01,Ohio
2012-03-20,29.07,USC00335297,-81.9197,40.5375,25.6,11.1,MILLERSBURG,Strong Hot,1532958,2012,3,20,2012.03,Ohio
1967-03-13,27.85,USC00401957,-87.0864,35.6381,28.3,17.8,COLUMBIA 3 WNW,Strong Hot,823931,1967,3,13,1967.03,Tennessee
2000-03-08,33.12,USW00094823,-80.2144,40.4847,26.7,15.0,PITTSBURGH INTL AP,Strong Hot,1118626,2000,3,8,2000.03,Pennsylvania
1972-02-29,28.04,USC00235541,-91.8861,39.1756,21.1,5.6,MEXICO,Strong Hot,1418310,1972,2,29,1972.02,Missouri
1967-03-31,30.89,USW00014820,-81.86,41.4131,24.4,12.8,CLEVELAND,Strong Hot,784094,1967,3,31,1967.03,Ohio
2006-07-24,16.19,USC00040379,-119.5128,37.0919,41.7,28.9,AUBERRY 2 NW,Strong Hot,650727,2006,7,24,2006.07,California
2002-04-17,30.16,USW00014771,-76.1039,43.1111,31.7,14.4,SYRACUSE HANCOCK INTL AP,Strong Hot,355819,2002,4,17,2002.04,New York
2000-02-23,33.45,USW00014826,-83.7494,42.9667,16.7,8.3,FLINT BISHOP INTL AP,Strong Hot,1097718,2000,2,23,2000.02,Michigan
1977-04-23,24.12,USC00454679,-118.5658,47.0022,31.7,11.1,LIND 3 NE,Strong Hot,49806,1977,4,23,1977.04,Washington
2000-02-26,34.78,USC00116526,-88.9106,41.3283,22.8,7.2,OTTAWA 5SW,Strong Hot,1094595,2000,2,26,2000.02,Illinois
1994-04-25,27.07,USW00014852,-80.6739,41.2544,28.9,16.1,YOUNGSTOWN RGNL AP,Strong Hot,697641,1994,4,25,1994.04,Ohio
1967-11-12,17.33,USC00020632,-111.6497,33.8097,33.9,15.6,BARTLETT DAM,Strong Hot,780126,1967,11,12,1967.11,Arizona
1982-03-20,21.93,USC00011694,-86.6522,32.8203,29.4,17.2,CLANTON,Strong Hot,1274342,1982,3,20,1982.03,Alabama
2006-05-26,20.93,USW00023040,-103.2017,31.78,43.3,25.0,WINKLER CO AP,Strong Hot,641487,2006,5,26,2006.05,Texas
2010-08-30,14.44,USC00207277,-85.5464,45.6911,29.4,22.8,ST JAMES 4SSW BEAVER,Strong Hot,2802168,2010,8,30,2010.08,Michigan
1982-11-03,28.83,USW00014777,-75.7269,41.3336,24.4,15.0,WILKES-BARRE INTL AP,Strong Hot,1269812,1982,11,3,1982.11,Pennsylvania
1985-05-30,16.82,USC00412082,-102.3578,31.4072,40.6,23.9,CRANE,Strong Hot,2360901,1985,5,30,1985.05,Texas
1987-05-15,22.25,USW00024193,-114.0358,40.7206,32.2,21.7,WENDOVER AP AWOS,Strong Hot,1781765,1987,5,15,1987.05,Utah
1982-11-04,27.86,USC00308248,-75.0367,43.9,19.4,10.0,STILLWATER RSVR,Strong Hot,1268958,1982,11,4,1982.11,New York
1990-09-07,20.57,USC00334681,-83.5097,39.8972,33.9,22.8,LONDON STATE FISH HATCHERY,Strong Hot,3076603,1990,9,7,1990.09,Ohio
1991-04-08,27.73,USC00369408,-77.3894,41.7003,27.2,13.3,WELLSBORO 4 SW,Strong Hot,2538003,1991,4,8,1991.04,Pennsylvania
1971-06-16,10.37,USC00099141,-82.6222,33.4028,37.8,22.2,WARRENTON,Strong Hot,2121788,1971,6,16,1971.06,Georgia
1998-03-28,34.87,USC00331905,-81.7908,40.3708,26.7,15.0,COSHOCTON AG RSCH STN,Strong Hot,1356470,1998,3,28,1998.03,Ohio
1971-03-26,20.98,USC00422696,-112.0944,40.2703,22.8,6.1,FAIRFIELD,Strong Hot,2099577,1971,3,26,1971.03,Utah
1984-12-17,26.4,USC00228445,-90.9108,33.4311,24.4,16.7,STONEVILLE EXP STA,Strong Hot,776428,1984,12,17,1984.12,Mississippi
1997-08-18,14.39,USC00442941,-78.3864,37.3264,37.8,25.0,FARMVILLE 2 N,Strong Hot,1925436,1997,8,18,1997.08,Virginia
1997-05-28,14.28,USC00047888,-117.8667,33.7442,33.3,18.3,SANTA ANA FIRE STN,Strong Hot,1919608,1997,5,28,1997.05,California
1968-04-29,24.17,USW00024152,-118.4247,45.5114,24.4,7.2,MEACHAM,Strong Hot,2647592,1968,4,29,1968.04,Oregon
2010-09-01,19.73,USC00300055,-78.1664,43.2722,32.2,22.2,ALBION 2 NE,Strong Hot,2778795,2010,9,1,2010.09,New York
1971-03-30,18.18,USC00028619,-110.0686,31.7119,29.4,14.4,TOMBSTONE,Strong Hot,2147506,1971,3,30,1971.03,Arizona
1984-09-18,14.16,USW00023258,-120.9506,37.6242,38.9,20.6,MODESTO CITY CO AP,Strong Hot,746798,1984,9,18,1984.09,California
1980-12-06,31.66,USC00238712,-93.8008,38.7842,21.1,11.7,WARRENSBURG 4NW,Strong Hot,2471440,1980,12,6,1980.12,Missouri
1988-07-17,13.22,USC00118147,-89.7167,38.1167,39.4,25.0,SPARTA 1 W,Strong Hot,2725492,1988,7,17,1988.07,Illinois
2000-09-11,15.21,USW00023041,-101.4536,32.2442,38.9,24.4,BIG SPRING,Strong Hot,1149407,2000,9,11,2000.09,Texas
1990-06-30,12.91,USC00381944,-81.0167,33.9831,41.1,25.0,COLUMBIA UNIV OF SC,Strong Hot,3118702,1990,6,30,1990.06,South Carolina
1995-01-14,32.46,USC00123777,-85.2892,40.4356,14.4,8.3,HARTFORD CITY 4 ESE,Strong Hot,2235237,1995,1,14,1995.01,Indiana
2012-03-18,41.79,USC00477132,-91.7719,45.4164,26.1,11.7,RICE LAKE,Strong Hot,1509401,2012,3,18,2012.03,Wisconsin
1975-01-28,30.36,USC00034638,-90.7664,34.7392,23.9,14.4,MARIANNA 2 S,Strong Hot,876194,1975,1,28,1975.01,Arkansas
2003-04-16,23.02,USC00234544,-92.5747,40.2058,28.9,16.7,KIRKSVILLE,Strong Hot,480555,2003,4,16,2003.04,Missouri
2010-06-25,13.32,USC00381588,-79.8833,34.7319,37.8,24.4,CHERAW,Strong Hot,2770211,2010,6,25,2010.06,South Carolina
1991-12-02,28.51,USC00319147,-82.9683,35.4867,21.7,14.4,WAYNESVILLE 1 E,Strong Hot,2543822,1991,12,2,1991.12,North Carolina
2002-10-01,24.76,USC00478171,-89.5856,44.5114,26.1,16.1,STEVENS POINT,Strong Hot,346148,2002,10,1,2002.1,Wisconsin
2007-03-25,32.01,USW00014848,-86.3164,41.7072,26.1,12.2,SOUTH BEND MICHIANA RGNL AP,Strong Hot,1439714,2007,3,25,2007.03,Indiana
1966-12-08,24.34,USC00223887,-89.3392,31.2547,26.7,17.8,HATTIESBURG 5SW,Strong Hot,1599593,1966,12,8,1966.12,Mississippi
1978-12-08,26.95,USC00388440,-80.3569,33.9364,26.7,17.2,SUMTER,Strong Hot,1041927,1978,12,8,1978.12,South Carolina
1985-01-01,31.05,USC00406534,-83.2008,35.9833,23.3,12.8,NEWPORT 1 NW,Strong Hot,2379265,1985,1,1,1985.01,Tennessee
1994-02-20,29.06,USC00234417,-90.075,36.2253,23.3,15.0,KENNETT RADIO KBOA,Strong Hot,702060,1994,2,20,1994.02,Missouri
2003-05-28,20.26,USC00047306,-117.1894,34.0528,41.7,16.7,REDLANDS,Strong Hot,518085,2003,5,28,2003.05,California
2012-05-28,21.81,USC00124272,-86.0678,39.7164,33.3,22.2,INDIANAPOLIS SE SIDE,Strong Hot,1504621,2012,5,28,2012.05,Indiana
2007-09-06,21.47,USC00479335,-89.8056,44.3881,32.8,18.9,WISCONSIN RAPIDS,Strong Hot,1485439,2007,9,6,2007.09,Wisconsin
1976-02-24,32.59,USC00324203,-97.0664,47.4389,10.0,1.1,HILLSBORO 3 N,Strong Hot,597601,1976,2,24,1976.02,North Dakota
2003-08-09,12.0,USC00027480,-110.5261,33.1819,42.2,28.3,SAN CARLOS RESERVOIR,Strong Hot,495021,2003,8,9,2003.08,Arizona
2001-08-01,18.2,USC00210075,-93.3019,43.6064,34.4,25.6,ALBERT LEA 3 SE,Strong Hot,1684756,2001,8,1,2001.08,Minnesota
1996-05-20,25.48,USW00004725,-75.985,42.1997,31.7,20.6,BINGHAMTON,Strong Hot,2342417,1996,5,20,1996.05,New York
2006-05-28,24.56,USC00399442,-100.4794,43.4978,34.4,18.9,WOOD,Strong Hot,660762,2006,5,28,2006.05,South Dakota
